date,day_of_week,day_of_week_num,week_of_year,month,season,is_weekend,public_holiday,festival_flag,weekly_market_day,vaccination_camp_flag,maternal_clinic_day,local_event_intensity,rainfall_mm,temperature_max_c,temperature_min_c,humidity_pct,outbreak_type,outbreak_severity_0_5,surveillance_alert,affected_villages,general_opd_arrivals,fever_infectious_arrivals,maternal_child_arrivals,trauma_emergency_arrivals,expected_admissions,total_patient_arrivals,patients_lag_1,patients_lag_2,patients_lag_7,rolling_mean_7,rolling_std_7,patients_lag_14,rolling_mean_14,required_general_doctors,required_physicians,required_emergency_doctors,required_pediatricians,required_obgyn_doctors,required_senior_nursing_officers,required_nursing_officers,required_anm_staff,required_lab_technicians,required_pharmacists,required_ambulance_crew,required_general_beds,required_emergency_beds,required_isolation_beds,required_iv_fluid_units,required_ors_units,required_diagnostic_test_kits,required_antipyretic_units,required_ppe_kits,required_oxygen_cylinders,required_ambulances,available_general_beds,available_emergency_beds,available_isolation_beds,stock_iv_fluid_units,stock_ors_units,stock_diagnostic_test_kits,stock_antipyretic_units,stock_ppe_kits,available_oxygen_cylinders,available_ambulances,resource_shortage_count,overflow_patients,emergency_risk_level
2020-01-01,Wednesday,3,1,1,Winter,0,0,0,1,0,0,1,0.0,22.1,13.3,48.1,,0,0,0,93,13,6,14,6,126,,,,,,,,2,1,1,1,1,2,5,1,1,2,1,4,4,2,11,3,6,29,14,1,1,45,11,8,14,11,5,35,18,9,1,1,0,Watch
2020-01-02,Thursday,4,1,1,Winter,0,0,0,0,1,1,0,0.0,19.6,12.7,59.4,,0,0,0,82,19,15,8,8,124,126.0,,,,,,,2,1,1,1,1,2,5,1,1,2,1,5,3,3,13,4,9,37,17,1,1,32,11,8,12,13,7,51,18,7,2,2,0,Watch
2020-01-03,Friday,5,1,1,Winter,0,0,0,0,0,0,0,0.0,22.7,14.5,47.4,,0,0,0,83,18,5,4,5,110,124.0,126.0,,,,,,2,1,1,1,1,2,4,1,1,1,1,3,2,2,9,4,9,36,15,1,1,44,11,7,8,11,10,44,14,9,2,2,0,Watch
2020-01-04,Saturday,6,1,1,Winter,1,0,0,0,0,0,0,0.0,23.8,13.6,49.4,,0,0,0,70,14,9,14,9,107,110.0,124.0,,,,,,2,1,1,1,1,2,4,1,1,1,1,5,4,3,12,3,7,28,13,1,1,32,11,6,10,12,8,33,12,9,3,2,0,Watch
2020-01-05,Sunday,7,1,1,Winter,1,0,0,0,0,0,0,0.0,20.7,11.6,60.5,,0,0,0,69,20,7,8,7,104,107.0,110.0,,,,,,2,1,1,1,1,2,4,1,1,1,1,4,3,3,12,4,9,37,16,1,1,42,11,8,12,12,10,39,21,9,2,0,0,Normal
2020-01-06,Monday,1,2,1,Winter,0,0,0,0,0,0,0,0.0,21.3,14.9,60.4,Respiratory,3,1,5,107,39,7,5,9,158,104.0,107.0,,,,,,2,2,1,1,1,2,6,1,1,2,1,5,3,6,17,8,34,70,40,9,1,50,14,9,19,17,41,93,50,11,2,0,0,Watch
2020-01-07,Tuesday,2,2,1,Winter,0,0,0,0,0,1,0,0.0,22.4,16.0,61.3,Respiratory,3,1,5,101,40,12,7,9,160,158.0,104.0,,,,,,2,2,1,1,1,2,6,1,1,2,1,5,4,6,20,8,34,71,40,9,1,33,11,9,19,14,45,75,37,6,2,3,0,High
2020-01-08,Wednesday,3,2,1,Winter,0,0,0,1,0,0,1,0.0,22.1,15.0,53.9,Respiratory,3,1,3,112,41,7,11,9,171,160.0,158.0,126.0,127.0,21.64,,,3,2,1,1,1,2,7,1,1,2,1,5,4,6,20,8,35,73,42,10,1,43,12,10,25,16,41,92,55,9,3,1,0,Watch
2020-01-09,Thursday,4,2,1,Winter,0,0,0,0,0,1,0,0.0,22.9,14.5,53.1,Respiratory,3,1,3,96,38,11,6,9,151,171.0,160.0,124.0,133.43,26.52,,,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,7,33,67,39,9,1,51,11,8,22,16,27,64,53,9,2,2,0,Watch
2020-01-10,Friday,5,2,1,Winter,0,0,0,0,0,0,0,0.5,21.5,14.3,55.9,Respiratory,3,1,5,92,37,8,5,6,142,151.0,171.0,110.0,137.29,26.83,,,2,2,1,1,1,2,6,1,1,2,1,4,3,5,17,7,32,65,38,8,1,42,11,6,18,16,30,90,49,9,2,1,0,Watch
