date,day_of_week,day_of_week_num,week_of_year,month,season,is_weekend,public_holiday,festival_flag,weekly_market_day,vaccination_camp_flag,maternal_clinic_day,local_event_intensity,rainfall_mm,temperature_max_c,temperature_min_c,humidity_pct,outbreak_type,outbreak_severity_0_5,surveillance_alert,affected_villages,general_opd_arrivals,fever_infectious_arrivals,maternal_child_arrivals,trauma_emergency_arrivals,expected_admissions,total_patient_arrivals,patients_lag_1,patients_lag_2,patients_lag_7,rolling_mean_7,rolling_std_7,patients_lag_14,rolling_mean_14,emergency_scenario_type,emergency_scenario_severity_0_5,vector_borne_cases,respiratory_cases,gastrointestinal_cases,other_fever_cases,severe_respiratory_cases,pediatric_cases,antenatal_cases,obstetric_emergency_cases,immunization_visits,oxygen_support_cases,required_oxygen_cylinders,available_oxygen_cylinders,oxygen_shortage_units,oxygen_shortage_flag,total_general_beds,occupied_general_beds,expected_general_discharges,out_of_service_general_beds,available_general_beds,projected_general_occupancy,overflow_general_patients,required_general_beds,total_emergency_beds,occupied_emergency_beds,expected_emergency_discharges,out_of_service_emergency_beds,available_emergency_beds,projected_emergency_occupancy,overflow_emergency_patients,required_emergency_beds,total_isolation_beds,occupied_isolation_beds,expected_isolation_discharges,out_of_service_isolation_beds,available_isolation_beds,projected_isolation_occupancy,overflow_isolation_patients,required_isolation_beds,overflow_patients,opening_stock_iv_fluids,received_iv_fluids,used_iv_fluids,expired_iv_fluids,closing_stock_iv_fluids,required_iv_fluids,iv_fluids_shortage_units,iv_fluids_reorder_flag,opening_stock_ors,received_ors,used_ors,expired_ors,closing_stock_ors,required_ors,ors_shortage_units,ors_reorder_flag,opening_stock_diagnostic_test_kits,received_diagnostic_test_kits,used_diagnostic_test_kits,expired_diagnostic_test_kits,closing_stock_diagnostic_test_kits,required_diagnostic_test_kits,diagnostic_test_kits_shortage_units,diagnostic_test_kits_reorder_flag,opening_stock_antipyretics,received_antipyretics,used_antipyretics,expired_antipyretics,closing_stock_antipyretics,required_antipyretics,antipyretics_shortage_units,antipyretics_reorder_flag,opening_stock_ppe_kits,received_ppe_kits,used_ppe_kits,expired_ppe_kits,closing_stock_ppe_kits,required_ppe_kits,ppe_kits_shortage_units,ppe_kits_reorder_flag,minimum_obgyn_coverage,required_obgyn_duty_hours,obgyn_on_call_required,obgyn_shortage_flag,minimum_pediatrician_coverage,required_pediatrician_duty_hours,pediatrician_on_call_required,pediatrician_shortage_flag,required_general_doctors,required_physicians,required_emergency_doctors,required_pediatricians,required_obgyn_doctors,required_senior_nursing_officers,required_nursing_officers,required_anm_staff,required_lab_technicians,required_pharmacists,required_ambulance_crew,required_ambulances,available_ambulances,ambulance_shortage_units,ambulance_shortage_flag,resource_shortage_count,emergency_risk_level
2020-01-01,Wednesday,3,1,1,Winter,0,0,0,1,0,0,1,0.0,22.1,13.3,48.1,,0,0,0,93,13,6,14,6,126,,,,,,,,None,0,4,6,1,2,0,3,2,0,1,1,3,6,0,0,28,19,2,1,8,19,0,19,10,3,2,1,6,3,0,3,28,10,3,0,18,10,0,10,0,400,0,9,1,390,9,0,0,300,0,2,1,297,2,0,0,350,0,10,0,340,10,0,0,900,0,18,2,880,18,0,0,500,0,3,0,497,3,0,0,2,8,0,0,1,8,0,0,2,1,2,1,1,2,6,1,1,1,2,2,3,0,0,0,Normal
2020-01-02,Thursday,4,1,1,Winter,0,0,0,0,1,1,0,0.0,19.6,12.7,59.4,,0,0,0,82,19,15,8,8,124,126.0,,,,,,,None,0,5,8,4,2,2,7,2,0,6,3,5,7,0,0,28,23,2,0,5,23,0,23,10,3,1,1,6,3,0,3,28,7,4,2,19,7,0,7,0,390,0,14,1,375,14,0,0,297,0,6,1,290,6,0,0,340,0,12,0,328,12,0,0,880,0,22,2,856,22,0,0,497,0,8,0,489,8,0,0,2,16,1,1,1,20,1,1,2,1,1,2,2,2,6,2,1,1,1,1,4,0,0,2,Watch
2020-01-03,Friday,5,1,1,Winter,0,0,0,0,0,0,0,0.0,22.7,14.5,47.4,,0,0,0,83,18,5,4,5,110,124.0,126.0,,,,,,None,0,6,7,4,1,0,1,3,0,1,1,3,7,0,0,28,23,4,2,3,23,0,23,10,1,2,1,8,1,0,1,28,7,1,0,21,7,0,7,0,375,0,10,1,364,10,0,0,290,0,5,1,284,5,0,0,328,0,12,0,316,12,0,0,856,0,21,2,833,21,0,0,489,0,6,0,483,6,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2020-01-04,Saturday,6,1,1,Winter,1,0,0,0,0,0,0,0.0,23.8,13.6,49.4,,0,0,0,70,14,9,14,9,107,110.0,124.0,,,,,,None,0,2,3,3,6,0,6,1,0,2,1,3,6,0,0,28,22,3,0,6,22,0,22,10,1,1,2,7,1,0,1,28,12,1,1,15,12,0,12,0,364,0,14,1,349,14,0,0,284,0,4,1,279,4,0,0,316,0,9,0,307,9,0,0,833,0,17,2,814,17,0,0,483,0,14,0,469,14,0,0,2,8,0,0,1,20,1,1,2,1,2,2,1,2,6,1,1,1,2,2,3,0,0,1,Watch
2020-01-05,Sunday,7,1,1,Winter,1,0,0,0,0,0,0,0.0,20.7,11.6,60.5,,0,0,0,69,20,7,8,7,104,107.0,110.0,,,,,,None,0,7,8,1,4,1,3,3,0,1,2,4,7,0,0,28,15,9,1,12,15,0,15,10,2,1,0,8,2,0,2,28,14,1,2,12,14,0,14,0,349,0,12,1,336,12,0,0,279,0,3,1,275,3,0,0,307,0,12,0,295,12,0,0,814,0,22,2,790,22,0,0,469,0,11,0,458,11,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2020-01-06,Monday,1,2,1,Winter,0,0,0,0,0,0,0,0.0,21.3,14.9,60.4,Respiratory,3,1,5,107,39,7,5,9,158,104.0,107.0,,,,,,None,0,7,22,6,4,8,3,2,1,1,9,10,6,4,1,28,17,5,1,10,17,0,17,10,2,2,0,8,2,0,2,28,11,3,0,17,11,0,11,0,336,0,18,1,317,18,0,0,275,0,9,1,265,9,0,0,295,0,20,0,275,20,0,0,790,0,40,2,748,40,0,0,458,0,20,0,438,20,0,0,2,12,1,0,1,8,0,0,3,2,1,1,1,2,6,1,1,1,1,1,4,0,0,1,Watch
2020-01-07,Tuesday,2,2,1,Winter,0,0,0,0,0,1,0,0.0,22.4,16.0,61.3,Respiratory,3,1,5,101,40,12,7,9,160,158.0,104.0,,,,,,None,0,4,30,2,4,13,6,6,0,0,14,14,5,9,1,28,17,5,1,10,17,0,17,10,4,0,2,4,4,0,4,28,9,4,3,16,9,0,9,0,317,0,17,1,299,17,0,0,265,0,6,1,258,6,0,0,275,0,20,0,255,20,0,0,748,0,40,1,707,40,0,0,438,0,32,0,406,32,0,0,2,8,1,0,1,20,1,1,3,2,1,2,1,3,6,2,1,1,1,1,3,0,0,2,Watch
2020-01-08,Wednesday,3,2,1,Winter,0,0,0,1,0,0,1,0.0,22.1,15.0,53.9,Respiratory,3,1,3,112,41,7,11,9,171,160.0,158.0,126.0,127.0,21.64,,,None,0,5,29,4,3,9,4,3,0,0,11,11,6,5,1,28,14,6,0,14,14,0,14,10,0,4,0,10,0,0,0,28,12,3,2,14,12,0,12,0,299,0,18,1,280,18,0,0,258,0,8,0,250,8,0,0,255,0,21,0,234,21,0,0,707,0,42,1,664,42,0,0,406,0,37,0,369,37,0,0,2,8,0,0,1,8,1,0,3,2,1,1,1,3,6,1,2,1,1,1,2,0,0,1,Watch
2020-01-09,Thursday,4,2,1,Winter,0,0,0,0,0,1,0,0.0,22.9,14.5,53.1,Respiratory,3,1,3,96,38,11,6,9,151,171.0,160.0,124.0,133.43,26.52,,,None,0,6,26,2,4,10,3,4,2,2,11,11,7,4,1,28,17,3,4,7,17,0,17,10,1,0,1,8,1,0,1,28,11,3,1,16,11,0,11,0,280,0,17,1,262,17,0,0,250,0,6,0,244,6,0,0,234,0,19,0,215,19,0,0,664,0,38,1,625,38,0,0,369,0,28,0,341,28,0,0,2,20,1,1,1,8,0,0,2,2,1,1,2,2,6,2,1,1,1,1,4,0,0,2,Watch
2020-01-10,Friday,5,2,1,Winter,0,0,0,0,0,0,0,0.5,21.5,14.3,55.9,Respiratory,3,1,5,92,37,8,5,6,142,151.0,171.0,110.0,137.29,26.83,,,None,0,7,21,5,4,11,2,3,1,2,11,11,4,7,1,28,15,5,0,13,15,0,15,10,1,0,2,7,1,0,1,28,12,2,0,16,12,0,12,0,262,0,14,0,248,14,0,0,244,0,8,0,236,8,0,0,215,0,19,0,196,19,0,1,625,0,37,1,587,37,0,0,341,0,28,0,313,28,0,0,2,12,1,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,2,0,0,1,Watch
