date,outbreak_type,outbreak_severity_0_5,total_patient_arrivals,general_opd_arrivals,fever_infectious_arrivals,maternal_child_arrivals,trauma_emergency_arrivals,expected_admissions,required_general_doctors,required_physicians,required_emergency_doctors,required_pediatricians,required_obgyn_doctors,required_senior_nursing_officers,required_nursing_officers,required_anm_staff,required_lab_technicians,required_pharmacists,required_ambulance_crew,required_general_beds,required_emergency_beds,required_isolation_beds,required_iv_fluid_units,required_ors_units,required_diagnostic_test_kits,required_antipyretic_units,required_ppe_kits,required_oxygen_cylinders,required_ambulances,available_general_beds,available_emergency_beds,available_isolation_beds,stock_iv_fluid_units,stock_ors_units,stock_diagnostic_test_kits,stock_antipyretic_units,stock_ppe_kits,available_oxygen_cylinders,available_ambulances,resource_shortage_count,overflow_patients,emergency_risk_level
2020-01-01,None,0,126,93,13,6,14,6,2,1,1,1,1,2,5,1,1,2,1,4,4,2,11,3,6,29,14,1,1,45,11,8,14,11,5,35,18,9,1,1,0,Watch
2020-01-02,None,0,124,82,19,15,8,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,13,4,9,37,17,1,1,32,11,8,12,13,7,51,18,7,2,2,0,Watch
2020-01-03,None,0,110,83,18,5,4,5,2,1,1,1,1,2,4,1,1,1,1,3,2,2,9,4,9,36,15,1,1,44,11,7,8,11,10,44,14,9,2,2,0,Watch
2020-01-04,None,0,107,70,14,9,14,9,2,1,1,1,1,2,4,1,1,1,1,5,4,3,12,3,7,28,13,1,1,32,11,6,10,12,8,33,12,9,3,2,0,Watch
2020-01-05,None,0,104,69,20,7,8,7,2,1,1,1,1,2,4,1,1,1,1,4,3,3,12,4,9,37,16,1,1,42,11,8,12,12,10,39,21,9,2,0,0,Normal
2020-01-06,Respiratory,3,158,107,39,7,5,9,2,2,1,1,1,2,6,1,1,2,1,5,3,6,17,8,34,70,40,9,1,50,14,9,19,17,41,93,50,11,2,0,0,Watch
2020-01-07,Respiratory,3,160,101,40,12,7,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,20,8,34,71,40,9,1,33,11,9,19,14,45,75,37,6,2,3,0,High
2020-01-08,Respiratory,3,171,112,41,7,11,9,3,2,1,1,1,2,7,1,1,2,1,5,4,6,20,8,35,73,42,10,1,43,12,10,25,16,41,92,55,9,3,1,0,Watch
2020-01-09,Respiratory,3,151,96,38,11,6,9,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,7,33,67,39,9,1,51,11,8,22,16,27,64,53,9,2,2,0,Watch
2020-01-10,Respiratory,3,142,92,37,8,5,6,2,2,1,1,1,2,6,1,1,2,1,4,3,5,17,7,32,65,38,8,1,42,11,6,18,16,30,90,49,9,2,1,0,Watch
2020-01-11,Respiratory,3,147,88,43,6,10,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,20,8,37,74,43,10,1,39,11,9,24,15,42,85,43,7,2,1,0,Watch
2020-01-12,Respiratory,3,143,83,42,7,11,10,2,2,1,1,1,2,6,1,1,2,1,6,4,6,20,8,36,72,42,10,1,43,11,7,18,17,48,91,50,9,1,2,0,Watch
2020-01-13,Respiratory,3,157,106,37,7,7,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,17,7,32,67,38,9,1,42,12,11,15,14,28,63,52,10,2,3,0,High
2020-01-14,Respiratory,3,156,102,36,13,5,9,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,7,31,65,37,8,1,42,9,10,17,17,41,79,40,8,2,1,0,Watch
2020-01-15,Respiratory,3,157,104,34,7,12,9,2,1,1,1,1,2,6,1,1,2,1,5,4,6,18,7,29,62,36,8,1,39,14,5,21,14,34,76,34,8,2,2,0,Watch
2020-01-16,Respiratory,3,146,93,36,11,6,9,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,7,31,64,37,8,1,47,10,9,20,17,41,88,50,9,2,0,0,Watch
2020-01-17,Respiratory,3,152,97,39,7,9,8,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,8,34,69,40,9,1,43,11,6,20,14,41,65,40,7,2,2,0,Watch
2020-01-18,Respiratory,3,146,85,40,8,13,10,2,2,1,1,1,2,6,1,1,2,1,6,5,6,20,8,34,69,40,9,1,43,12,7,20,15,40,67,53,12,2,1,0,Watch
2020-01-19,Respiratory,3,145,83,43,7,12,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,21,8,37,73,43,10,1,42,10,10,22,18,49,76,54,11,2,0,0,Watch
2020-01-20,Respiratory,3,158,106,37,7,8,10,2,2,1,1,1,2,6,1,1,2,1,6,4,6,18,7,32,67,38,9,1,42,11,12,23,14,34,70,50,7,2,1,0,Watch
2020-01-21,Respiratory,3,149,103,32,12,2,7,2,1,1,1,1,2,6,1,1,2,1,4,2,5,15,6,28,59,34,7,1,42,13,9,20,14,29,81,43,6,2,1,0,Watch
2020-01-22,Respiratory,3,178,117,39,7,15,11,3,2,1,1,1,2,7,1,1,2,1,7,5,7,20,8,34,71,41,9,1,43,12,7,19,18,25,95,54,8,2,3,0,High
2020-01-23,Respiratory,3,155,99,37,12,7,10,2,2,1,1,1,2,6,1,1,2,1,6,4,6,19,7,32,66,38,9,1,43,11,6,19,16,32,91,37,10,2,1,0,Watch
2020-01-24,Respiratory,3,147,98,34,7,8,9,2,1,1,1,1,2,6,1,1,2,1,5,4,6,17,7,29,61,36,8,1,42,7,10,20,16,35,85,30,7,2,2,0,Watch
2020-01-25,Respiratory,3,150,86,41,9,14,11,2,2,1,1,1,2,6,1,1,2,1,7,5,7,21,8,35,71,41,10,1,42,12,8,19,16,42,66,36,8,2,4,0,High
2020-01-26,Respiratory,3,141,84,37,7,13,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,7,32,64,38,9,1,43,11,9,23,14,41,82,32,9,2,1,0,Watch
2020-01-27,Respiratory,3,158,109,38,6,5,7,2,2,1,1,1,2,6,1,1,2,1,4,3,5,17,7,33,68,39,9,1,42,5,9,20,16,36,70,54,9,2,0,0,Watch
2020-01-28,Respiratory,3,160,104,40,10,6,7,2,2,1,1,1,2,6,1,1,2,1,4,3,5,19,8,34,71,40,9,1,42,10,7,18,17,29,73,35,8,2,4,0,High
2020-01-29,Respiratory,3,171,112,38,7,14,10,3,2,1,1,1,2,7,1,1,2,1,6,5,6,20,7,33,69,40,9,1,44,13,13,23,13,33,65,44,4,2,2,0,Watch
2020-01-30,Respiratory,3,154,97,37,12,8,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,7,32,66,38,9,1,45,11,8,25,14,24,63,55,9,2,2,0,Watch
2020-01-31,Respiratory,3,157,101,41,8,7,9,2,2,1,1,1,2,6,1,1,2,1,5,4,6,19,8,35,72,41,9,1,42,11,9,16,16,35,77,50,10,2,1,0,Watch
2020-02-01,Respiratory,3,150,88,39,12,11,10,2,2,1,1,1,2,6,1,1,2,1,6,4,6,20,8,34,68,40,9,1,42,11,8,18,16,27,68,44,7,2,3,0,High
2020-02-02,Respiratory,3,149,88,42,7,12,10,2,2,1,1,1,2,6,1,1,2,1,6,4,6,21,8,36,72,42,10,1,37,11,9,20,18,47,69,51,9,2,3,0,High
2020-02-03,Respiratory,3,158,104,39,8,7,8,2,2,1,1,1,2,6,1,1,2,1,5,3,6,18,8,34,69,40,9,1,40,11,7,16,16,43,74,42,9,2,1,0,Watch
2020-02-04,Respiratory,3,164,105,41,13,5,10,2,2,1,1,1,2,6,1,1,2,1,6,4,6,20,8,35,72,41,9,1,40,12,8,20,15,46,75,41,8,2,1,0,Watch
2020-02-05,Respiratory,3,169,108,40,8,13,11,2,2,1,1,1,2,7,1,1,2,1,7,5,7,20,8,34,71,41,9,1,48,10,5,19,15,30,97,51,10,2,3,0,High
2020-02-06,None,0,123,84,17,12,10,8,2,1,1,1,1,2,5,1,1,2,1,5,4,3,12,4,8,34,16,1,1,42,12,9,13,12,9,33,18,9,2,1,0,Watch
2020-02-07,None,0,117,82,20,8,7,7,2,1,1,1,1,2,5,1,1,1,1,4,3,3,12,4,9,39,17,1,1,42,11,8,12,12,6,37,16,9,2,3,0,High
2020-02-08,None,0,114,76,18,7,13,8,2,1,1,1,1,2,5,1,1,1,1,5,4,3,12,4,9,35,16,1,1,42,11,8,14,12,7,35,20,9,2,1,0,Watch
2020-02-09,None,0,106,70,22,5,9,6,2,1,1,1,1,2,4,1,1,1,1,4,3,3,12,4,10,40,17,1,1,43,11,8,15,12,10,37,15,11,3,2,0,Watch
2020-02-10,None,0,124,96,16,7,5,5,2,1,1,1,1,2,5,1,1,2,1,3,2,2,9,3,8,34,15,1,1,40,10,9,11,11,10,45,14,10,2,1,0,Watch
2020-02-11,None,0,127,90,18,11,8,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,12,4,9,36,16,1,1,40,12,9,16,12,9,37,21,10,2,0,0,Normal
2020-02-12,None,0,140,97,22,9,12,9,2,1,1,1,1,2,5,1,1,2,1,5,4,3,14,4,10,43,18,2,1,49,11,8,18,12,11,56,15,10,2,1,0,Watch
2020-02-13,None,0,119,82,17,13,7,7,2,1,1,1,1,2,5,1,1,1,1,4,3,3,12,4,8,34,16,1,1,39,13,8,14,11,7,34,17,9,2,1,0,Watch
2020-02-14,None,0,110,82,18,7,3,4,2,1,1,1,1,2,4,1,1,1,1,3,2,2,9,4,9,36,15,1,1,42,12,9,9,13,8,46,12,9,2,2,0,Watch
2020-02-15,None,0,115,76,20,7,12,8,2,1,1,1,1,2,5,1,1,1,1,5,4,3,13,4,9,38,17,1,1,41,14,5,16,12,8,41,20,9,2,1,0,Watch
2020-02-16,None,0,107,71,18,7,11,7,2,1,1,1,1,2,4,1,1,1,1,4,4,3,12,4,9,35,15,1,1,44,12,8,12,13,10,48,18,5,2,0,0,Normal
2020-02-17,None,0,125,95,19,7,4,6,2,1,1,1,1,2,5,1,1,2,1,4,2,3,10,4,9,38,17,1,1,47,11,11,11,11,8,37,18,9,2,2,0,Watch
2020-02-18,None,0,131,88,20,13,10,8,2,1,1,1,1,2,5,1,1,2,1,5,4,3,14,4,9,39,17,1,1,45,11,10,15,12,9,47,22,8,2,0,0,Normal
2020-02-19,None,0,136,95,19,9,13,10,2,1,1,1,1,2,5,1,1,2,1,6,5,3,13,4,9,38,17,1,1,40,7,9,17,12,8,41,16,8,2,2,0,Watch
2020-02-20,None,0,137,93,19,16,9,7,2,1,1,1,1,2,5,2,1,2,1,4,3,3,14,4,9,38,17,1,1,42,8,9,17,12,7,42,20,11,2,1,0,Watch
2020-02-21,None,0,123,90,19,8,6,6,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,4,9,38,17,1,1,34,11,10,13,12,11,51,22,9,2,0,0,Normal
2020-02-22,None,0,109,72,19,6,12,8,2,1,1,1,1,2,4,1,1,1,1,5,4,3,12,4,9,36,16,1,1,50,13,8,13,13,9,41,23,8,2,0,0,Normal
2020-02-23,None,0,105,68,18,7,12,8,2,1,1,1,1,2,4,1,1,1,1,5,4,3,12,4,9,34,15,1,1,36,9,7,12,12,9,42,15,10,2,0,0,Normal
2020-02-24,None,0,122,91,18,6,7,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,10,4,9,37,16,1,1,47,9,7,12,11,11,39,13,9,2,1,0,Watch
2020-02-25,None,0,133,93,17,13,10,9,2,1,1,1,1,2,5,1,1,2,1,5,4,3,13,4,8,35,16,1,1,40,10,8,15,12,10,46,16,8,2,0,0,Normal
2020-02-26,None,0,142,100,16,13,13,8,2,1,1,1,1,2,6,1,1,2,1,5,4,3,13,3,8,34,16,1,1,41,11,9,15,12,10,34,22,9,3,0,0,Normal
2020-02-27,None,0,129,88,21,14,6,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,13,4,10,41,18,1,1,46,12,9,13,11,9,50,24,9,2,1,0,Watch
2020-02-28,None,0,117,83,18,7,9,8,2,1,1,1,1,2,5,1,1,1,1,5,4,3,11,4,9,36,16,1,1,34,12,5,14,11,9,48,19,6,2,0,0,Normal
2020-02-29,None,0,118,76,19,10,13,6,2,1,1,1,1,2,5,1,1,1,1,4,4,3,14,4,9,37,17,1,1,34,10,8,17,13,8,41,20,9,2,1,0,Watch
2020-03-01,None,0,129,76,23,8,22,9,2,1,2,1,1,2,5,1,1,2,1,5,5,3,17,5,11,43,19,2,1,42,9,8,16,14,13,45,18,11,2,2,0,Watch
2020-03-02,None,0,123,92,15,8,8,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,10,3,7,32,15,1,1,50,9,4,12,11,6,35,19,12,2,1,0,Watch
2020-03-03,None,0,136,95,18,15,8,9,2,1,1,1,1,2,5,1,1,2,1,5,4,3,13,4,9,37,16,1,1,42,12,8,14,13,12,34,14,9,2,2,0,Watch
2020-03-04,None,0,145,101,21,9,14,9,2,1,1,1,1,2,6,1,1,2,1,5,4,3,14,4,10,42,19,2,1,41,11,8,14,13,9,58,22,13,2,1,0,Watch
2020-03-05,None,0,125,83,21,13,8,7,2,1,1,1,1,2,5,1,1,2,1,4,3,3,13,4,10,40,18,1,1,34,10,7,13,12,12,50,16,13,2,1,0,Watch
2020-03-06,None,0,118,84,20,8,6,8,2,1,1,1,1,2,5,1,1,1,1,5,3,3,11,4,9,39,17,1,1,43,11,9,13,11,7,42,23,9,2,1,0,Watch
2020-03-07,None,0,113,74,19,9,11,6,2,1,1,1,1,2,5,1,1,1,1,4,3,3,13,4,9,36,17,1,1,48,9,8,12,11,8,33,15,10,2,4,0,High
2020-03-08,None,0,113,78,13,8,14,8,2,1,1,1,1,2,5,1,1,1,1,5,4,3,11,3,6,28,14,1,1,42,11,8,14,10,7,35,16,9,2,0,0,Normal
2020-03-09,None,0,127,94,18,8,7,6,2,1,1,1,1,2,5,1,1,2,1,4,3,3,11,4,9,37,16,1,1,39,9,9,10,11,11,42,18,8,2,1,0,Watch
2020-03-10,None,0,128,90,16,15,7,8,2,1,1,1,1,2,5,1,1,2,1,5,3,3,12,3,8,33,15,1,1,42,11,5,12,12,6,32,16,11,2,2,0,Watch
